participant_id,start_0,start_1,start_2,start_3,start_4,start_5,start_6,start_7,start_8,start_9,start_10,start_11,start_12,start_13,start_14,start_15,start_16,start_17,start_18,start_19,start_20,start_21,start_22,start_23,start_24,start_25,start_26,start_27,start_28,start_29,start_30,start_31,start_32,start_33,start_34,start_35,start_36,start_37,start_38,start_39,start_40,start_41,start_42,start_43,start_44,start_45,start_46,start_47,start_48,start_49
10000,1230.8264,1036.6049,1230.835,1230.8346,1036.1241,1036.2494,1231.2242,1036.7952,1231.1788,1231.5425,1036.2129,1231.5425,1231.2175,1231.171,1035.981,1231.5425,1036.2494,1231.179,1036.249,1036.124,1036.767,1036.2408,1230.8265,1036.6047,1231.5427,1231.1788,1036.2408,1036.2494,1231.5428,1036.2494,1036.2408,1036.124,1231.5148,1231.5424,1230.8264,1230.8267,1036.7476,1231.5424,1036.2494,1231.5424,1231.5428,1230.8264,1036.2495,1036.7616,1036.241,1036.1241,1036.2408,1036.6047,1230.8265,1036.7705
9187,1333.0449,1159.4684,1333.6859,1333.045,1159.0492,1159.4973,1333.7139,1204.9845,1333.4552,1333.714,1159.4973,1333.714,1333.4252,1333.3776,1160.6205,1333.714,1159.2223,1333.3777,1158.6,1158.6218,1159.5076,1159.8326,1333.0444,1158.6001,1333.7145,1333.7074,1158.997,1159.2225,1333.7144,1159.5,1159.5051,1333.044,1333.6866,1333.7142,1333.044,1333.0443,1333.714,1333.7139,1158.997,1333.7146,1333.7146,1333.0441,1158.9971,1204.9845,1158.6,1158.6001,1333.0448,1159.8717,1159.2224,1159.119
10002,798.6478,798.6448,798.6448,798.6478,798.6448,916.63586,798.6478,798.65576,1483.5223,1484.2214,798.6478,1482.8152,798.6478,1482.8152,798.65576,798.6478,798.6448,798.6605,798.65576,798.65576,798.64777,798.6448,1483.5221,798.65576,1484.2235,1483.5214,798.6448,1065.5725,798.6522,798.6448,798.6605,798.68274,798.6605,1484.2222,1482.721,1482.434,798.65234,798.6448,798.6448,1484.2214,1484.1825,1482.8152,798.70557,798.6629,889.7925,798.6448,863.81226,798.6448,798.6448,798.6522
10003,1468.9092,,1121.5045,1468.9095,1121.5105,,1468.9104,1121.5045,1469.4761,1469.9408,1121.5044,1469.9408,1469.4266,1469.4303,1121.5045,1469.9408,1121.5044,1469.4716,1121.5306,,1121.5398,1121.5045,1469.4762,1121.5105,1469.9413,1469.9406,1121.5298,1121.9513,1469.9414,1121.5044,1121.5045,1121.5104,1468.9097,1469.9415,1468.9095,1468.9104,1121.5045,1469.937,1121.5105,1469.9408,1469.4308,1469.4282,1121.5043,1121.5308,1121.5104,1121.5105,1121.5105,,1121.5045,1121.5045
10004,2424.6614,575.6456,575.00757,575.8665,575.00775,575.00745,575.64557,1074.3557,1326.206,1327.1187,1092.4595,1075.5204,575.6409,1325.7218,671.6445,575.7456,1074.3558,650.0313,576.07294,575.7456,576.0996,1326.1993,651.29315,575.62134,1327.1195,575.0075,575.00775,677.2421,575.6214,575.00775,575.7456,1105.2256,575.61676,1327.1195,575.61664,575.0077,719.5112,1074.3558,575.0079,575.00775,575.62134,576.06616,575.7456,587.38336,664.66327,575.64557,659.07745,818.7173,575.0078,732.04395
10005,867.72095,867.73883,867.2075,867.72095,1088.6515,867.2076,867.72095,867.7389,1460.3069,867.73883,,1460.1035,867.20764,1460.2236,867.72107,867.2075,867.2076,867.79767,867.79767,867.72095,867.7522,867.739,1141.6497,867.2075,1461.1517,867.78754,867.7391,867.73883,867.72095,867.721,867.2076,867.73883,867.2075,1461.1501,867.72095,867.77136,867.2076,867.2076,867.2075,867.739,867.2076,867.79767,867.73883,867.79767,867.73883,867.72095,867.73883,867.7391,867.73883,867.2075
10006,729.2946,730.9604,728.9144,728.9144,728.9144,754.45685,730.347,754.45685,1486.8728,1487.517,730.9252,1486.0826,729.2946,1486.254,730.82196,728.69037,728.9145,730.924,729.29456,1483.237,1486.8715,1487.5177,1486.7816,987.6667,1487.5165,1486.781,752.67065,730.8219,729.2946,730.9252,728.9145,730.9253,728.69025,1487.5177,1486.2548,1485.6912,728.6903,754.585,738.8265,1487.517,753.9235,1486.254,728.9144,728.6903,799.4254,729.2946,728.6902,753.9234,730.80475,730.9356
10007,1312.6956,1239.1809,1312.4408,1312.6456,1239.1809,1312.4408,1312.8407,1239.5099,1312.6904,1312.8407,1239.181,1312.8407,1312.8173,1312.6946,1238.8992,1312.8407,1301.3326,1312.6915,1238.8993,1239.5154,1312.4403,1312.8259,1312.6852,1239.51,1312.841,1312.8406,1239.5099,1239.1809,1312.8411,1312.6926,1312.8405,1312.4401,1312.8274,1312.841,1312.44,1312.8368,1312.8407,1312.8406,1238.8992,1312.841,1312.8407,1312.6921,1239.5153,1239.5753,1238.8992,1312.4401,1312.4403,1312.4408,1312.8307,1312.4403
10016,782.0016,782.089,782.0891,785.0909,782.78705,782.0016,782.00165,782.7871,783.155,782.00165,782.0017,782.0016,783.1551,783.1551,782.7872,782.0017,782.08887,785.167,1021.86206,782.00165,783.155,782.7872,783.155,782.78723,783.155,782.00165,782.7871,782.089,783.155,782.0889,782.0017,785.167,782.089,783.1551,,782.089,782.0015,782.089,785.09094,782.0015,785.0909,783.1551,783.155,782.7871,785.1431,783.155,782.00165,782.08905,994.7469,782.0015
10017,918.76263,918.91095,920.51764,919.04956,918.77,918.78357,921.358,918.8164,918.7846,918.7616,1154.7286,1380.9508,920.4012,918.76984,931.0526,918.91095,918.92004,921.56036,918.3593,918.68976,918.683,918.92413,919.04956,918.8164,918.3617,918.683,921.5687,921.5687,918.9005,921.5687,918.68964,920.2344,919.0786,918.76996,918.23914,918.76984,920.2345,920.51764,931.0127,948.0816,919.1235,918.9005,918.76984,918.23914,930.8793,918.683,921.5745,920.34595,947.4283,918.49994
